Timestamp,roll,pitch,heading,rollRate,pitchRate,yawRate,groundSpeed,airSpeed,climbRate,altitudeRelative,altitudeAMSL,flightDistance,flightTime,distanceToHome,headingToNextWP,headingToHome,distanceToGCS,throttlePct,hobbs,battery.voltage,battery.percentRemaining,battery.mahConsumed,battery.current,battery.temperature,battery.instantPower,battery.timeRemaining,battery.chargeState,battery2.voltage,battery2.percentRemaining,battery2.mahConsumed,battery2.current,battery2.temperature,battery2.instantPower,battery2.timeRemaining,battery2.chargeState,clock.currentTime,clock.currentDate,distanceSensor.rotationNone,distanceSensor.rotationYaw45,distanceSensor.rotationYaw90,distanceSensor.rotationYaw135,distanceSensor.rotationYaw180,distanceSensor.rotationYaw225,distanceSensor.rotationYaw270,distanceSensor.rotationYaw315,distanceSensor.rotationPitch90,distanceSensor.rotationPitch270,estimatorStatus.goodAttitudeEsimate,estimatorStatus.goodHorizVelEstimate,estimatorStatus.goodVertVelEstimate,estimatorStatus.goodHorizPosRelEstimate,estimatorStatus.goodHorizPosAbsEstimate,estimatorStatus.goodVertPosAbsEstimate,estimatorStatus.goodVertPosAGLEstimate,estimatorStatus.goodConstPosModeEstimate,estimatorStatus.goodPredHorizPosRelEstimate,estimatorStatus.goodPredHorizPosAbsEstimate,estimatorStatus.gpsGlitch,estimatorStatus.accelError,estimatorStatus.velRatio,estimatorStatus.horizPosRatio,estimatorStatus.vertPosRatio,estimatorStatus.magRatio,estimatorStatus.haglRatio,estimatorStatus.tasRatio,estimatorStatus.horizPosAccuracy,estimatorStatus.vertPosAccuracy,gps.lat,gps.lon,gps.mgrs,gps.hdop,gps.vdop,gps.courseOverGround,gps.lock,gps.count,temperature.temperature1,temperature.temperature2,temperature.temperature3,vibration.xAxis,vibration.yAxis,vibration.zAxis,vibration.clipCount1,vibration.clipCount2,vibration.clipCount3,wind.direction,wind.speed,wind.verticalSpeed
2020-08-02 19:56:41.829,9.6,5.6,96,6.2,5.3,0.8,23.1,23.7,2.3,0.8,50.9,15.7,00:00:00,25.7,341,273,--.--,100,0000:00:00,12.14,100,0,-1.00,--.--,-12.14,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,19:56:41,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,true,false,true,true,false,false,0.63,0.04,0.00,0.02,0.00,0.25,0.41,0.20,43.9451550,-78.8967789,17TPJ 68780 67931,0.0,0.0,89.9,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,278.2,4.4,0.0
2020-08-02 19:56:42.829,11.9,8.1,98,0.6,7.2,3.7,23.1,23.7,2.9,3.4,53.5,36.1,00:00:00,46.3,341,273,--.--,100,0000:00:00,12.13,99,0,-1.00,--.--,-12.13,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,19:56:42,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,true,false,true,true,false,false,0.63,0.04,0.00,0.02,0.00,0.25,0.41,0.20,43.9451523,-78.8965589,17TPJ 68798 67931,0.0,0.0,92.4,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,298.2,1.5,0.0
2020-08-02 19:56:43.808,2.1,14.8,101,-27.9,8.9,-2.2,22.5,23.5,4.8,7.0,57.1,54.5,00:00:01,65.0,341,275,--.--,100,0000:00:00,12.10,98,0,-1.00,--.--,-12.10,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,19:56:43,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,false,false,true,true,false,false,0.20,0.07,0.02,0.03,0.00,0.19,0.44,0.21,43.9451329,-78.8962575,17TPJ 68822 67930,0.0,0.0,97.6,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,298.2,1.5,0.0
2020-08-02 19:56:44.830,-22.9,17.6,96,-31.1,-1.6,-13.1,20.8,22.4,6.9,12.7,62.8,74.6,00:00:02,84.4,341,276,--.--,57,0000:00:00,12.08,96,0,-1.00,--.--,-12.08,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,19:56:44,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,false,false,true,true,false,false,0.20,0.07,0.02,0.03,0.00,0.19,0.44,0.21,43.9450953,-78.8959675,17TPJ 68845 67926,0.0,0.0,101.2,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,298.2,1.5,0.0
2020-08-02 19:56:45.830,-36.2,13.3,83,-3.4,7.1,-13.8,21.1,21.5,5.1,18.2,68.3,93.6,00:00:03,103.5,341,275,--.--,65,0000:00:00,12.05,94,0,-1.00,--.--,-12.05,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,19:56:45,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,false,false,true,true,false,false,0.22,0.13,0.02,0.01,0.00,0.18,0.44,0.21,43.9450683,-78.8956981,17TPJ 68867 67924,0.0,0.0,92.8,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,268.5,0.8,0.0
2020-08-02 19:56:46.816,-39.5,12.0,66,2.2,9.9,-13.8,21.0,21.0,4.4,23.2,73.3,115.2,00:00:04,123.7,341,272,--.--,63,0000:00:00,12.02,93,0,-1.00,--.--,-12.02,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,19:56:46,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,false,false,true,true,false,false,0.22,0.13,0.02,0.01,0.00,0.18,0.44,0.21,43.9450851,-78.8954335,17TPJ 68888 67926,0.0,0.0,76.5,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,268.5,0.8,0.0
2020-08-02 19:56:47.819,-39.8,11.3,48,3.4,12.8,-15.5,20.5,20.8,4.3,27.8,77.9,134.4,00:00:05,141.0,341,268,--.--,64,0000:00:00,11.99,91,0,-1.00,--.--,-11.99,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,19:56:47,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,false,false,true,true,false,false,0.24,0.16,0.02,0.05,0.00,0.04,0.43,0.21,43.9451574,-78.8951886,17TPJ 68908 67935,0.0,0.0,58.7,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,345.2,1.5,0.0
2020-08-02 19:56:48.814,-40.2,11.0,30,4.4,15.0,-18.1,20.3,20.7,4.4,31.3,81.4,151.5,00:00:06,152.7,341,263,--.--,64,0000:00:00,11.97,89,0,-1.00,--.--,-11.97,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,19:56:48,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,false,false,true,true,false,false,0.24,0.16,0.02,0.05,0.00,0.04,0.43,0.21,43.9452794,-78.8949932,17TPJ 68923 67949,0.0,0.0,38.7,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,345.2,1.5,0.0
2020-08-02 19:56:49.813,-40.3,11.1,8,4.3,14.3,-16.2,20.1,20.3,4.6,35.4,85.5,168.1,00:00:07,162.2,341,258,--.--,62,0000:00:00,11.97,89,0,-1.00,--.--,-11.97,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,19:56:49,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,false,false,true,true,false,false,0.08,0.08,0.01,0.05,0.00,0.03,0.45,0.21,43.9452794,-78.8949932,17TPJ 68923 67949,0.0,0.0,38.7,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,329.9,0.8,0.0
2020-08-02 19:56:50.832,-40.1,11.4,350,4.5,12.5,-13.7,20.0,20.7,4.5,39.4,89.5,187.4,00:00:08,167.8,341,252,--.--,61,0000:00:00,11.94,88,0,-1.00,--.--,-11.94,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,19:56:50,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,false,false,true,true,false,false,0.08,0.08,0.01,0.05,0.00,0.03,0.45,0.21,43.9454433,-78.8948781,17TPJ 68932 67967,0.0,0.0,14.7,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,329.9,0.8,0.0
2020-08-02 19:56:51.833,-39.1,12.5,334,7.0,13.0,-13.2,19.7,20.1,4.6,43.2,93.3,204.4,00:00:09,169.5,341,246,--.--,61,0000:00:00,11.91,86,0,-1.00,--.--,-11.91,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,19:56:51,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,false,false,true,true,false,false,0.08,0.08,0.01,0.05,0.00,0.03,0.45,0.21,43.9456265,-78.8948632,17TPJ 68932 67987,0.0,0.0,352.7,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,306.8,0.5,0.0
2020-08-02 19:56:52.816,-35.4,15.2,313,11.7,14.8,-15.6,18.9,19.7,5.3,47.7,97.8,225.8,00:00:10,167.1,341,239,--.--,62,0000:00:00,11.88,84,0,-1.00,--.--,-11.88,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,19:56:52,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,false,false,true,true,false,false,0.21,0.09,0.02,0.03,0.00,0.11,0.44,0.21,43.9458021,-78.8949380,17TPJ 68926 68007,0.0,0.0,333.3,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,306.8,0.5,0.0
