Timestamp,roll,pitch,heading,rollRate,pitchRate,yawRate,groundSpeed,airSpeed,climbRate,altitudeRelative,altitudeAMSL,flightDistance,flightTime,distanceToHome,headingToNextWP,headingToHome,distanceToGCS,throttlePct,hobbs,battery.voltage,battery.percentRemaining,battery.mahConsumed,battery.current,battery.temperature,battery.instantPower,battery.timeRemaining,battery.chargeState,battery2.voltage,battery2.percentRemaining,battery2.mahConsumed,battery2.current,battery2.temperature,battery2.instantPower,battery2.timeRemaining,battery2.chargeState,clock.currentTime,clock.currentDate,distanceSensor.rotationNone,distanceSensor.rotationYaw45,distanceSensor.rotationYaw90,distanceSensor.rotationYaw135,distanceSensor.rotationYaw180,distanceSensor.rotationYaw225,distanceSensor.rotationYaw270,distanceSensor.rotationYaw315,distanceSensor.rotationPitch90,distanceSensor.rotationPitch270,estimatorStatus.goodAttitudeEsimate,estimatorStatus.goodHorizVelEstimate,estimatorStatus.goodVertVelEstimate,estimatorStatus.goodHorizPosRelEstimate,estimatorStatus.goodHorizPosAbsEstimate,estimatorStatus.goodVertPosAbsEstimate,estimatorStatus.goodVertPosAGLEstimate,estimatorStatus.goodConstPosModeEstimate,estimatorStatus.goodPredHorizPosRelEstimate,estimatorStatus.goodPredHorizPosAbsEstimate,estimatorStatus.gpsGlitch,estimatorStatus.accelError,estimatorStatus.velRatio,estimatorStatus.horizPosRatio,estimatorStatus.vertPosRatio,estimatorStatus.magRatio,estimatorStatus.haglRatio,estimatorStatus.tasRatio,estimatorStatus.horizPosAccuracy,estimatorStatus.vertPosAccuracy,gps.lat,gps.lon,gps.mgrs,gps.hdop,gps.vdop,gps.courseOverGround,gps.lock,gps.count,temperature.temperature1,temperature.temperature2,temperature.temperature3,vibration.xAxis,vibration.yAxis,vibration.zAxis,vibration.clipCount1,vibration.clipCount2,vibration.clipCount3,wind.direction,wind.speed,wind.verticalSpeed
2020-08-01 21:01:35.805,-1.1,-1.2,30,0.0,0.2,-0.1,0.0,1.3,-0.0,-0.0,50.1,0.0,00:00:00,0.0,308,--.--,--.--,0,0002:41:26,12.14,100,0,-1.00,--.--,-12.14,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,21:01:35,2020-08-01,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,true,false,true,true,false,false,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.21,43.9451638,-78.8968383,17TPJ 68775 67932,0.0,0.0,24.2,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2020-08-01 21:01:36.805,0.3,0.7,30,-0.6,-0.9,0.3,0.0,-2.9,0.0,0.0,50.1,0.0,00:00:01,0.0,308,--.--,--.--,60,0002:41:26,12.12,99,0,-1.00,--.--,-12.12,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,21:01:36,2020-08-01,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,true,false,true,true,false,false,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.21,43.9451638,-78.8968383,17TPJ 68775 67932,0.0,0.0,83.8,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2020-08-01 21:01:37.804,-0.7,-0.8,30,-0.7,-0.5,-0.1,0.0,-1.5,1.3,1.0,51.1,0.0,00:00:02,0.1,308,--.--,--.--,62,0002:41:26,12.10,98,0,-1.00,--.--,-12.10,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,21:01:37,2020-08-01,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,true,false,true,true,false,false,0.01,0.01,0.00,0.02,0.00,0.00,0.44,0.21,43.9451633,-78.8968381,17TPJ 68775 67932,0.0,0.0,182.9,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2020-08-01 21:01:38.804,-1.1,-1.1,29,-0.8,0.0,0.3,0.0,-3.7,2.4,3.1,53.2,0.0,00:00:03,0.1,308,--.--,--.--,54,0002:41:26,12.07,96,0,-1.00,--.--,-12.07,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,21:01:38,2020-08-01,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,true,false,true,true,false,false,0.01,0.01,0.00,0.02,0.00,0.00,0.44,0.21,43.9451626,-78.8968378,17TPJ 68775 67932,0.0,0.0,158.5,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2020-08-01 21:01:39.804,-1.3,-1.3,30,0.2,0.4,0.3,0.0,1.3,1.7,5.1,55.2,0.0,00:00:04,0.1,308,--.--,--.--,57,0002:41:26,12.05,94,0,-1.00,--.--,-12.05,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,21:01:39,2020-08-01,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,true,false,true,true,false,false,0.03,0.01,0.02,0.01,0.00,0.00,0.43,0.21,43.9451623,-78.8968376,17TPJ 68775 67932,0.0,0.0,169.8,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2020-08-01 21:01:40.804,-1.3,-1.3,30,-0.2,-0.3,-0.1,0.0,2.1,1.6,6.7,56.8,0.0,00:00:05,0.1,308,--.--,--.--,58,0002:41:26,12.02,93,0,-1.00,--.--,-12.02,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,21:01:40,2020-08-01,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,true,false,true,true,false,false,0.03,0.01,0.02,0.01,0.00,0.00,0.43,0.21,43.9451623,-78.8968376,17TPJ 68775 67932,0.0,0.0,338.3,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2020-08-01 21:01:41.804,-1.3,-1.2,30,0.2,-0.2,0.1,0.0,-1.5,1.5,8.3,58.4,0.0,00:00:06,0.1,308,--.--,--.--,58,0002:41:26,11.99,91,0,-1.00,--.--,-11.99,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,21:01:41,2020-08-01,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,false,false,true,true,false,false,0.01,0.00,0.01,0.01,0.00,0.00,0.43,0.20,43.9451627,-78.8968377,17TPJ 68775 67932,0.0,0.0,337.5,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2020-08-01 21:01:42.804,-1.2,-1.2,30,-0.1,-0.4,0.1,0.0,-0.3,1.5,9.8,59.9,0.0,00:00:07,0.1,308,--.--,--.--,58,0002:41:26,11.97,89,0,-1.00,--.--,-11.97,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,21:01:42,2020-08-01,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,false,false,true,true,false,false,0.01,0.00,0.01,0.01,0.00,0.00,0.43,0.20,43.9451631,-78.8968379,17TPJ 68775 67932,0.0,0.0,348.8,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2020-08-01 21:01:43.804,-0.9,-0.8,30,-0.6,-0.9,-0.1,0.0,1.0,2.8,11.9,62.0,0.0,00:00:08,0.1,308,--.--,--.--,66,0002:41:26,11.94,88,0,-1.00,--.--,-11.94,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,21:01:43,2020-08-01,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,false,false,true,true,false,false,0.09,0.00,0.01,0.00,0.00,0.00,0.46,0.21,43.9451634,-78.8968380,17TPJ 68775 67932,0.0,0.0,357.8,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2020-08-01 21:01:44.805,-1.0,-1.1,30,-0.1,-0.2,0.2,0.0,-1.2,3.0,14.9,64.9,0.0,00:00:09,0.1,308,--.--,--.--,60,0002:41:26,11.91,86,0,-1.00,--.--,-11.91,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,21:01:44,2020-08-01,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,false,false,true,true,false,false,0.09,0.00,0.01,0.00,0.00,0.00,0.46,0.21,43.9451634,-78.8968379,17TPJ 68775 67932,0.0,0.0,141.5,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
