Timestamp,roll,pitch,heading,rollRate,pitchRate,yawRate,groundSpeed,airSpeed,climbRate,altitudeRelative,altitudeAMSL,flightDistance,flightTime,distanceToHome,headingToNextWP,headingToHome,distanceToGCS,throttlePct,hobbs,battery.voltage,battery.percentRemaining,battery.mahConsumed,battery.current,battery.temperature,battery.instantPower,battery.timeRemaining,battery.chargeState,battery2.voltage,battery2.percentRemaining,battery2.mahConsumed,battery2.current,battery2.temperature,battery2.instantPower,battery2.timeRemaining,battery2.chargeState,clock.currentTime,clock.currentDate,distanceSensor.rotationNone,distanceSensor.rotationYaw45,distanceSensor.rotationYaw90,distanceSensor.rotationYaw135,distanceSensor.rotationYaw180,distanceSensor.rotationYaw225,distanceSensor.rotationYaw270,distanceSensor.rotationYaw315,distanceSensor.rotationPitch90,distanceSensor.rotationPitch270,estimatorStatus.goodAttitudeEsimate,estimatorStatus.goodHorizVelEstimate,estimatorStatus.goodVertVelEstimate,estimatorStatus.goodHorizPosRelEstimate,estimatorStatus.goodHorizPosAbsEstimate,estimatorStatus.goodVertPosAbsEstimate,estimatorStatus.goodVertPosAGLEstimate,estimatorStatus.goodConstPosModeEstimate,estimatorStatus.goodPredHorizPosRelEstimate,estimatorStatus.goodPredHorizPosAbsEstimate,estimatorStatus.gpsGlitch,estimatorStatus.accelError,estimatorStatus.velRatio,estimatorStatus.horizPosRatio,estimatorStatus.vertPosRatio,estimatorStatus.magRatio,estimatorStatus.haglRatio,estimatorStatus.tasRatio,estimatorStatus.horizPosAccuracy,estimatorStatus.vertPosAccuracy,gps.lat,gps.lon,gps.mgrs,gps.hdop,gps.vdop,gps.courseOverGround,gps.lock,gps.count,temperature.temperature1,temperature.temperature2,temperature.temperature3,vibration.xAxis,vibration.yAxis,vibration.zAxis,vibration.clipCount1,vibration.clipCount2,vibration.clipCount3,wind.direction,wind.speed,wind.verticalSpeed
2020-08-02 14:48:34,-1.1,-1,98,-0.1,0.1,-0.2,0,2.2,0,0,0,0,0:00:00,0,308,--.--,--.--,27,0:36:01,12.14,100,0,-1,--.--,-12.14,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,14:48:34,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0.01,0,0.01,0,0,0.44,0.21,43.9451549,-78.896851,17TPJ 68774 67931,0,0,152.1,3,10,--.--,--.--,--.--,0,0,0,0,0,0,--.--,--.--,--.--
2020-08-02 14:48:35,-0.1,-0.7,98,-2.2,-1.2,-0.1,0.1,-1.9,0.5,0.2,0.2,0,0:00:01,0.1,308,--.--,--.--,61,0:36:01,12.13,99,0,-1,--.--,-12.13,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,14:48:35,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0.01,0,0,0.01,0,0,0.43,0.21,43.9451549,-78.896851,17TPJ 68774 67931,0,0,358.4,3,10,--.--,--.--,--.--,0,0,0,0,0,0,--.--,--.--,--.--
2020-08-02 14:48:36,-2.5,-1.9,97,-1,0.5,-1.1,0.1,2,1.4,1.2,1.2,0,0:00:02,0.2,308,--.--,--.--,59,0:36:01,12.1,98,0,-1,--.--,-12.1,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,14:48:36,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0.01,0,0,0.01,0,0,0.43,0.21,43.9451542,-78.8968514,17TPJ 68774 67931,0,0,196.4,3,10,--.--,--.--,--.--,0,0,0,0,0,0,--.--,--.--,--.--
2020-08-02 14:48:37,-1.6,-1.5,97,2.1,0.8,-1.1,0.1,2.2,1,2.5,2.4,0,0:00:03,0.1,308,--.--,--.--,57,0:36:01,12.08,96,0,-1,--.--,-12.08,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,14:48:37,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0.04,0.01,0,0.01,0,0,0.43,0.21,43.9451534,-78.8968516,17TPJ 68774 67931,0,0,40.9,3,10,--.--,--.--,--.--,0,0,0,0,0,0,--.--,--.--,--.--
2020-08-02 14:48:38,-0.2,-1.3,96,0.3,-0.1,0,0.1,-3.3,1,3.4,3.4,0,0:00:04,0,308,--.--,--.--,58,0:36:01,12.05,94,0,-1,--.--,-12.05,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,14:48:38,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0.04,0.01,0,0.01,0,0,0.43,0.21,43.9451545,-78.8968512,17TPJ 68774 67931,0,0,6.7,3,10,--.--,--.--,--.--,0,0,0,0,0,0,--.--,--.--,--.--
2020-08-02 14:48:39,-0.9,-1.4,96,-1.3,0.4,0.2,0.1,3.6,1,4.3,4.3,0,0:00:05,0,308,--.--,--.--,58,0:36:01,12.02,93,0,-1,--.--,-12.02,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,14:48:39,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.01,0,0.02,0.01,0,0,0.42,0.2,43.945155,-78.8968508,17TPJ 68774 67931,0,0,126.9,3,10,--.--,--.--,--.--,0,0,0,0,0,0,--.--,--.--,--.--
2020-08-02 14:48:40,-1.5,-1.3,96,-0.1,0,-0.4,0,1.9,0.9,5,5,0,0:00:06,0.1,308,--.--,--.--,58,0:36:01,12.02,93,0,-1,--.--,-12.02,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,14:48:40,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.01,0,0.02,0.01,0,0,0.42,0.2,43.945155,-78.8968508,17TPJ 68774 67931,0,0,126.9,3,10,--.--,--.--,--.--,0,0,0,0,0,0,--.--,--.--,--.--
2020-08-02 14:48:41,-1.1,-1.2,96,0.9,0.1,-0.2,0,-2.9,0.9,5.9,5.9,0,0:00:07,0.1,308,--.--,--.--,57,0:36:01,11.99,91,0,-1,--.--,-11.99,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,14:48:41,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.01,0,0.02,0.01,0,0,0.42,0.2,43.9451547,-78.8968504,17TPJ 68774 67931,0,0,96.6,3,10,--.--,--.--,--.--,0,0,0,0,0,0,--.--,--.--,--.--
2020-08-02 14:48:42,-0.8,-1.3,96,0.2,-0.2,-0.3,0,-3.5,1,6.6,6.6,0,0:00:08,0.1,308,--.--,--.--,58,0:36:01,11.97,89,0,-1,--.--,-11.97,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,14:48:42,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.02,0,0.01,0,0,0,0.43,0.2,43.945155,-78.8968501,17TPJ 68774 67931,0,0,22,3,10,--.--,--.--,--.--,0,0,0,0,0,0,--.--,--.--,--.--
2020-08-02 14:48:43,-1,-1.3,96,-0.6,0.3,0.3,0,2.2,1,7.6,7.6,0,0:00:09,0.1,308,--.--,--.--,58,0:36:01,11.94,88,0,-1,--.--,-11.94,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,14:48:43,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,--.--,--.--,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.02,0,0.01,0,0,0,0.43,0.2,43.945155,-78.8968501,17TPJ 68774 67931,0,0,140.8,3,10,--.--,--.--,--.--,0,0,0,0,0,0,--.--,--.--,--.--
