Timestamp,roll,pitch,heading,rollRate,pitchRate,yawRate,groundSpeed,airSpeed,climbRate,altitudeRelative,altitudeAMSL,flightDistance,flightTime,distanceToHome,headingToNextWP,headingToHome,distanceToGCS,throttlePct,hobbs,battery.voltage,battery.percentRemaining,battery.mahConsumed,battery.current,battery.temperature,battery.instantPower,battery.timeRemaining,battery.chargeState,battery2.voltage,battery2.percentRemaining,battery2.mahConsumed,battery2.current,battery2.temperature,battery2.instantPower,battery2.timeRemaining,battery2.chargeState,clock.currentTime,clock.currentDate,distanceSensor.rotationNone,distanceSensor.rotationYaw45,distanceSensor.rotationYaw90,distanceSensor.rotationYaw135,distanceSensor.rotationYaw180,distanceSensor.rotationYaw225,distanceSensor.rotationYaw270,distanceSensor.rotationYaw315,distanceSensor.rotationPitch90,distanceSensor.rotationPitch270,estimatorStatus.goodAttitudeEsimate,estimatorStatus.goodHorizVelEstimate,estimatorStatus.goodVertVelEstimate,estimatorStatus.goodHorizPosRelEstimate,estimatorStatus.goodHorizPosAbsEstimate,estimatorStatus.goodVertPosAbsEstimate,estimatorStatus.goodVertPosAGLEstimate,estimatorStatus.goodConstPosModeEstimate,estimatorStatus.goodPredHorizPosRelEstimate,estimatorStatus.goodPredHorizPosAbsEstimate,estimatorStatus.gpsGlitch,estimatorStatus.accelError,estimatorStatus.velRatio,estimatorStatus.horizPosRatio,estimatorStatus.vertPosRatio,estimatorStatus.magRatio,estimatorStatus.haglRatio,estimatorStatus.tasRatio,estimatorStatus.horizPosAccuracy,estimatorStatus.vertPosAccuracy,gps.lat,gps.lon,gps.mgrs,gps.hdop,gps.vdop,gps.courseOverGround,gps.lock,gps.count,temperature.temperature1,temperature.temperature2,temperature.temperature3,vibration.xAxis,vibration.yAxis,vibration.zAxis,vibration.clipCount1,vibration.clipCount2,vibration.clipCount3,wind.direction,wind.speed,wind.verticalSpeed
2020-08-02 14:20:26.805,-0.7,-1.5,98,-6.2,-2.8,-1.0,0.0,3.2,-0.0,-0.0,50.2,0.0,00:00:00,0.0,308,--.--,--.--,45,0002:27:50,12.14,100,0,-1.00,--.--,-12.14,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,14:20:26,2020-08-02,1.03,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,false,false,true,true,false,false,0.03,0.01,0.01,0.01,0.00,0.00,0.42,0.20,43.9451550,-78.8968509,17TPJ 68774 67931,0.0,0.0,324.0,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2020-08-02 14:20:27.804,-1.1,-0.9,98,4.0,0.3,2.6,0.0,-1.2,1.2,0.7,50.9,0.0,00:00:01,0.0,308,--.--,--.--,48,0002:27:50,12.12,99,0,-1.00,--.--,-12.12,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,14:20:27,2020-08-02,1.03,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,false,false,true,true,false,false,0.02,0.01,0.01,0.01,0.00,0.00,0.41,0.20,43.9451550,-78.8968509,17TPJ 68774 67931,0.0,0.0,41.0,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2020-08-02 14:20:28.806,-1.3,-0.7,98,0.2,2.8,5.4,0.0,-1.5,2.3,2.6,52.8,0.0,00:00:02,0.0,308,--.--,--.--,40,0002:27:50,12.10,98,0,-1.00,--.--,-12.10,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,14:20:28,2020-08-02,4.98,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,false,false,true,true,false,false,0.02,0.01,0.01,0.01,0.00,0.00,0.41,0.20,43.9451548,-78.8968507,17TPJ 68774 67931,0.0,0.0,140.7,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2020-08-02 14:20:29.804,-1.5,-1.4,98,-1.5,7.4,-1.3,0.0,-3.5,1.6,4.5,54.8,0.0,00:00:03,0.0,308,--.--,--.--,45,0002:27:50,12.07,96,0,-1.00,--.--,-12.07,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,14:20:29,2020-08-02,4.98,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,false,false,true,true,false,false,0.07,0.00,0.01,0.02,0.00,0.00,0.41,0.20,43.9451547,-78.8968511,17TPJ 68774 67931,0.0,0.0,283.2,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2020-08-02 14:20:30.805,-1.3,-1.6,98,-0.9,-6.8,-3.7,0.0,-0.7,1.5,6.1,56.4,0.0,00:00:04,0.0,308,--.--,--.--,45,0002:27:50,12.05,94,0,-1.00,--.--,-12.05,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,14:20:30,2020-08-02,5.00,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,false,false,true,true,false,false,0.07,0.00,0.01,0.02,0.00,0.00,0.41,0.20,43.9451549,-78.8968517,17TPJ 68774 67931,0.0,0.0,345.3,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2020-08-02 14:20:31.820,-0.7,-1.4,98,0.4,-5.0,2.8,0.0,-3.0,1.5,7.7,58.0,0.0,00:00:05,0.0,308,--.--,--.--,45,0002:27:50,12.02,93,0,-1.00,--.--,-12.02,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,14:20:31,2020-08-02,5.00,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,false,false,true,true,false,false,0.04,0.00,0.01,0.00,0.00,0.00,0.43,0.21,43.9451554,-78.8968517,17TPJ 68774 67931,0.0,0.0,359.5,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2020-08-02 14:20:32.804,-0.2,-1.2,98,1.1,4.7,-1.3,0.0,3.4,1.5,9.2,59.4,0.0,00:00:06,0.1,308,--.--,--.--,45,0002:27:50,11.99,91,0,-1.00,--.--,-11.99,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,14:20:32,2020-08-02,5.00,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,false,false,true,true,false,false,0.04,0.00,0.01,0.00,0.00,0.00,0.43,0.21,43.9451558,-78.8968514,17TPJ 68774 67931,0.0,0.0,96.2,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2020-08-02 14:20:33.807,-0.6,-1.1,98,1.9,2.5,-3.3,0.0,-0.2,1.9,10.8,61.0,0.0,00:00:07,0.0,308,--.--,--.--,54,0002:27:50,11.97,89,0,-1.00,--.--,-11.97,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,14:20:33,2020-08-02,5.00,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,false,false,true,true,false,false,0.01,0.00,0.01,0.00,0.00,0.00,0.44,0.21,43.9451557,-78.8968512,17TPJ 68774 67931,0.0,0.0,172.3,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2020-08-02 14:20:34.807,-0.9,-1.1,98,3.9,-0.7,2.6,0.0,-1.7,2.9,13.7,63.9,0.0,00:00:08,0.0,308,--.--,--.--,47,0002:27:50,11.94,88,0,-1.00,--.--,-11.94,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,14:20:34,2020-08-02,5.00,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,false,false,true,true,false,false,0.01,0.00,0.01,0.00,0.00,0.00,0.44,0.21,43.9451553,-78.8968510,17TPJ 68774 67931,0.0,0.0,190.8,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2020-08-02 14:20:35.807,-1.4,-1.4,98,-5.6,-5.7,5.0,0.0,1.5,2.9,16.6,66.9,0.0,00:00:09,0.0,308,--.--,--.--,47,0002:27:50,11.91,86,0,-1.00,--.--,-11.91,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,14:20:35,2020-08-02,5.00,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,false,false,true,true,false,false,0.03,0.00,0.01,0.01,0.00,0.00,0.43,0.21,43.9451549,-78.8968513,17TPJ 68774 67931,0.0,0.0,240.0,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
