Timestamp,roll,pitch,heading,rollRate,pitchRate,yawRate,groundSpeed,airSpeed,climbRate,altitudeRelative,altitudeAMSL,flightDistance,flightTime,distanceToHome,headingToNextWP,headingToHome,distanceToGCS,throttlePct,hobbs,battery.voltage,battery.percentRemaining,battery.mahConsumed,battery.current,battery.temperature,battery.instantPower,battery.timeRemaining,battery.chargeState,battery2.voltage,battery2.percentRemaining,battery2.mahConsumed,battery2.current,battery2.temperature,battery2.instantPower,battery2.timeRemaining,battery2.chargeState,clock.currentTime,clock.currentDate,distanceSensor.rotationNone,distanceSensor.rotationYaw45,distanceSensor.rotationYaw90,distanceSensor.rotationYaw135,distanceSensor.rotationYaw180,distanceSensor.rotationYaw225,distanceSensor.rotationYaw270,distanceSensor.rotationYaw315,distanceSensor.rotationPitch90,distanceSensor.rotationPitch270,estimatorStatus.goodAttitudeEsimate,estimatorStatus.goodHorizVelEstimate,estimatorStatus.goodVertVelEstimate,estimatorStatus.goodHorizPosRelEstimate,estimatorStatus.goodHorizPosAbsEstimate,estimatorStatus.goodVertPosAbsEstimate,estimatorStatus.goodVertPosAGLEstimate,estimatorStatus.goodConstPosModeEstimate,estimatorStatus.goodPredHorizPosRelEstimate,estimatorStatus.goodPredHorizPosAbsEstimate,estimatorStatus.gpsGlitch,estimatorStatus.accelError,estimatorStatus.velRatio,estimatorStatus.horizPosRatio,estimatorStatus.vertPosRatio,estimatorStatus.magRatio,estimatorStatus.haglRatio,estimatorStatus.tasRatio,estimatorStatus.horizPosAccuracy,estimatorStatus.vertPosAccuracy,gps.lat,gps.lon,gps.mgrs,gps.hdop,gps.vdop,gps.courseOverGround,gps.lock,gps.count,temperature.temperature1,temperature.temperature2,temperature.temperature3,vibration.xAxis,vibration.yAxis,vibration.zAxis,vibration.clipCount1,vibration.clipCount2,vibration.clipCount3,wind.direction,wind.speed,wind.verticalSpeed
2020-08-02 13:54:55.808,-1.2,-0.7,98,-26.5,0.4,-0.3,0.0,4.2,0.1,0.0,50.2,0.0,00:00:00,0.0,308,--.--,--.--,35,0002:27:50,12.14,100,0,-1.00,--.--,-12.14,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,13:54:55,2020-08-02,1.03,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,true,false,true,true,false,false,0.01,0.00,0.00,0.00,0.00,0.00,0.46,0.21,43.9451549,-78.8968510,17TPJ 68774 67931,0.0,0.0,83.7,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2020-08-02 13:54:56.810,-1.0,-0.7,99,-4.5,7.4,-2.9,0.0,3.0,1.2,0.7,50.9,0.0,00:00:01,0.0,308,--.--,--.--,48,0002:27:50,12.12,99,0,-1.00,--.--,-12.12,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,13:54:56,2020-08-02,1.03,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,true,false,true,true,false,false,0.01,0.00,0.00,0.00,0.00,0.00,0.46,0.21,43.9451549,-78.8968510,17TPJ 68774 67931,0.0,0.0,311.1,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2020-08-02 13:54:57.809,-0.8,-0.8,99,-0.2,2.7,-3.7,0.0,-3.5,2.4,2.5,52.8,0.0,00:00:02,0.0,308,--.--,--.--,42,0002:27:50,12.10,98,0,-1.00,--.--,-12.10,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,13:54:57,2020-08-02,4.92,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,true,false,true,true,false,false,0.02,0.01,0.01,0.01,0.00,0.00,0.44,0.21,43.9451546,-78.8968511,17TPJ 68774 67931,0.0,0.0,215.0,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2020-08-02 13:54:58.810,-1.2,-1.0,99,1.6,-6.3,3.3,0.0,2.5,1.7,4.6,54.8,0.0,00:00:03,0.1,308,--.--,--.--,44,0002:27:50,12.07,96,0,-1.00,--.--,-12.07,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,13:54:58,2020-08-02,4.92,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,true,false,true,true,false,false,0.02,0.01,0.01,0.01,0.00,0.00,0.44,0.21,43.9451544,-78.8968516,17TPJ 68774 67931,0.0,0.0,219.8,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2020-08-02 13:54:59.811,-1.4,-1.2,99,-4.3,2.6,0.4,0.0,2.3,1.5,6.2,56.5,0.0,00:00:04,0.1,308,--.--,--.--,45,0002:27:50,12.05,94,0,-1.00,--.--,-12.05,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,13:54:59,2020-08-02,5.00,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,false,false,true,true,false,false,0.01,0.01,0.01,0.00,0.00,0.00,0.44,0.21,43.9451542,-78.8968519,17TPJ 68774 67931,0.0,0.0,311.0,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2020-08-02 13:55:00.811,-1.0,-1.3,99,13.7,9.2,1.7,0.0,-4.3,1.5,7.8,58.0,0.0,00:00:05,0.0,308,--.--,--.--,45,0002:27:50,12.02,93,0,-1.00,--.--,-12.02,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,13:55:00,2020-08-02,5.00,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,false,false,true,true,false,false,0.01,0.01,0.01,0.00,0.00,0.00,0.44,0.21,43.9451543,-78.8968517,17TPJ 68774 67931,0.0,0.0,29.3,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2020-08-02 13:55:01.810,-1.1,-1.1,99,-6.2,-0.7,2.9,0.0,-0.7,1.5,9.3,59.5,0.0,00:00:06,0.0,308,--.--,--.--,45,0002:27:50,11.99,91,0,-1.00,--.--,-11.99,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,13:55:01,2020-08-02,5.00,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,false,false,true,true,false,false,0.02,0.00,0.00,0.00,0.00,0.00,0.44,0.21,43.9451546,-78.8968512,17TPJ 68774 67931,0.0,0.0,64.0,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2020-08-02 13:55:02.812,-0.8,-0.7,99,7.4,-0.9,-2.4,0.0,-3.8,2.1,11.0,61.2,0.0,00:00:07,0.0,308,--.--,--.--,55,0002:27:50,11.97,89,0,-1.00,--.--,-11.97,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,13:55:02,2020-08-02,5.00,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,false,false,true,true,false,false,0.02,0.00,0.00,0.00,0.00,0.00,0.44,0.21,43.9451548,-78.8968506,17TPJ 68774 67931,0.0,0.0,39.7,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2020-08-02 13:55:03.812,-0.9,-0.7,99,-6.7,5.7,-1.9,0.0,4.0,3.0,13.9,64.1,0.0,00:00:08,0.0,308,--.--,--.--,47,0002:27:50,11.94,88,0,-1.00,--.--,-11.94,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,13:55:03,2020-08-02,5.00,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,false,false,true,true,false,false,0.02,0.00,0.03,0.04,0.00,0.00,0.43,0.21,43.9451548,-78.8968504,17TPJ 68774 67931,0.0,0.0,153.8,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2020-08-02 13:55:04.804,-1.2,-1.1,99,3.8,8.0,1.0,0.0,-3.1,3.0,16.9,67.1,0.0,00:00:09,0.0,308,--.--,--.--,46,0002:27:50,11.91,86,0,-1.00,--.--,-11.91,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,13:55:04,2020-08-02,5.00,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,false,false,true,true,false,false,0.02,0.00,0.03,0.04,0.00,0.00,0.43,0.21,43.9451545,-78.8968505,17TPJ 68774 67931,0.0,0.0,228.1,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2020-08-02 13:55:05.813,-1.4,-1.1,99,1.9,2.5,-0.3,0.0,2.5,3.0,19.9,70.1,0.0,00:00:10,0.0,308,--.--,--.--,47,0002:27:50,11.88,84,0,-1.00,--.--,-11.88,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,13:55:05,2020-08-02,5.00,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,false,false,true,true,false,false,0.01,0.00,0.00,0.01,0.00,0.00,0.42,0.20,43.9451544,-78.8968506,17TPJ 68774 67931,0.0,0.0,131.1,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2020-08-02 13:55:06.813,-1.4,-1.1,99,-1.8,-1.3,-6.2,0.0,2.4,3.0,22.9,73.1,0.0,00:00:11,0.0,308,--.--,--.--,47,0002:27:50,11.86,83,0,-1.00,--.--,-11.86,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,13:55:06,2020-08-02,5.00,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,false,false,true,true,false,false,0.01,0.00,0.00,0.01,0.00,0.00,0.42,0.20,43.9451546,-78.8968504,17TPJ 68774 67931,0.0,0.0,17.8,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2020-08-02 13:55:07.813,-1.1,-1.2,99,0.2,5.2,-5.1,0.0,3.6,3.0,25.9,76.1,0.0,00:00:12,0.0,308,--.--,--.--,47,0002:27:50,11.83,81,0,-1.00,--.--,-11.83,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,13:55:07,2020-08-02,5.00,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,false,false,true,true,false,false,0.03,0.01,0.00,0.02,0.00,0.00,0.43,0.21,43.9451548,-78.8968503,17TPJ 68774 67931,0.0,0.0,11.3,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
