Timestamp,roll,pitch,heading,rollRate,pitchRate,yawRate,groundSpeed,airSpeed,climbRate,altitudeRelative,altitudeAMSL,flightDistance,flightTime,distanceToHome,headingToNextWP,headingToHome,distanceToGCS,throttlePct,hobbs,battery.voltage,battery.percentRemaining,battery.mahConsumed,battery.current,battery.temperature,battery.instantPower,battery.timeRemaining,battery.chargeState,battery2.voltage,battery2.percentRemaining,battery2.mahConsumed,battery2.current,battery2.temperature,battery2.instantPower,battery2.timeRemaining,battery2.chargeState,clock.currentTime,clock.currentDate,distanceSensor.rotationNone,distanceSensor.rotationYaw45,distanceSensor.rotationYaw90,distanceSensor.rotationYaw135,distanceSensor.rotationYaw180,distanceSensor.rotationYaw225,distanceSensor.rotationYaw270,distanceSensor.rotationYaw315,distanceSensor.rotationPitch90,distanceSensor.rotationPitch270,estimatorStatus.goodAttitudeEsimate,estimatorStatus.goodHorizVelEstimate,estimatorStatus.goodVertVelEstimate,estimatorStatus.goodHorizPosRelEstimate,estimatorStatus.goodHorizPosAbsEstimate,estimatorStatus.goodVertPosAbsEstimate,estimatorStatus.goodVertPosAGLEstimate,estimatorStatus.goodConstPosModeEstimate,estimatorStatus.goodPredHorizPosRelEstimate,estimatorStatus.goodPredHorizPosAbsEstimate,estimatorStatus.gpsGlitch,estimatorStatus.accelError,estimatorStatus.velRatio,estimatorStatus.horizPosRatio,estimatorStatus.vertPosRatio,estimatorStatus.magRatio,estimatorStatus.haglRatio,estimatorStatus.tasRatio,estimatorStatus.horizPosAccuracy,estimatorStatus.vertPosAccuracy,gps.lat,gps.lon,gps.mgrs,gps.hdop,gps.vdop,gps.courseOverGround,gps.lock,gps.count,temperature.temperature1,temperature.temperature2,temperature.temperature3,vibration.xAxis,vibration.yAxis,vibration.zAxis,vibration.clipCount1,vibration.clipCount2,vibration.clipCount3,wind.direction,wind.speed,wind.verticalSpeed
2020-08-02 19:43:29.335,10.6,4.9,104,4.0,2.0,0.9,23.0,23.5,1.8,0.6,50.7,20.3,00:00:00,29.8,341,281,--.--,100,0000:00:00,12.14,100,0,-1.00,--.--,-12.14,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,19:43:29,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,true,false,true,true,true,false,1.07,0.07,0.02,0.00,0.00,0.25,0.43,0.19,43.9451550,-78.8967869,17TPJ 68779 67931,0.0,0.0,90.0,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,283.0,4.8,0.0
2020-08-02 19:43:30.357,11.5,11.2,106,0.3,9.9,2.8,22.6,23.4,4.0,4.5,54.7,41.1,00:00:00,52.4,341,277,--.--,100,0000:00:00,12.13,99,0,-1.00,--.--,-12.13,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,19:43:30,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,true,false,true,true,false,false,0.60,0.53,0.09,0.02,0.00,0.30,0.52,0.24,43.9451507,-78.8965093,17TPJ 68802 67931,0.0,0.0,93.2,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,279.7,1.6,0.0
2020-08-02 19:43:31.357,-18.2,17.6,102,-40.9,0.6,-8.0,21.2,22.3,7.2,11.7,61.8,65.7,00:00:01,75.0,341,276,--.--,48,0000:00:00,12.10,98,0,-1.00,--.--,-12.10,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,19:43:31,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,true,false,true,true,false,false,0.60,0.53,0.09,0.02,0.00,0.30,0.52,0.24,43.9451297,-78.8962122,17TPJ 68826 67929,0.0,0.0,98.4,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,279.7,1.6,0.0
2020-08-02 19:43:32.336,-35.6,12.7,90,-4.1,6.3,-13.7,21.0,21.4,5.6,18.4,68.6,84.1,00:00:02,95.2,341,274,--.--,66,0000:00:00,12.08,96,0,-1.00,--.--,-12.08,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,19:43:32,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,false,false,true,true,false,false,0.45,0.11,0.03,0.01,0.00,0.04,0.44,0.22,43.9451019,-78.8959859,17TPJ 68844 67927,0.0,0.0,99.4,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,341.2,1.7,0.0
2020-08-02 19:43:33.360,-39.2,11.4,75,0.7,9.2,-13.3,21.3,20.8,4.7,23.3,73.4,102.9,00:00:03,113.0,341,272,--.--,62,0000:00:00,12.05,94,0,-1.00,--.--,-12.05,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,19:43:33,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,false,false,true,true,false,false,0.45,0.11,0.03,0.01,0.00,0.04,0.44,0.22,43.9450851,-78.8957235,17TPJ 68865 67926,0.0,0.0,88.8,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,341.2,1.7,0.0
2020-08-02 19:43:34.342,-40.2,10.5,56,2.5,12.1,-15.9,21.2,20.3,4.3,27.9,78.1,125.1,00:00:04,131.0,341,267,--.--,63,0000:00:00,12.02,93,0,-1.00,--.--,-12.02,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,19:43:34,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,false,false,true,true,false,false,0.45,0.11,0.03,0.01,0.00,0.04,0.44,0.22,43.9451159,-78.8954647,17TPJ 68886 67929,0.0,0.0,72.1,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,353.4,2.5,0.0
2020-08-02 19:43:35.314,-41.0,10.2,34,3.6,16.3,-19.0,21.0,20.4,4.2,31.8,82.0,142.2,00:00:05,144.4,341,262,--.--,63,0000:00:00,11.99,91,0,-1.00,--.--,-11.99,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,19:43:35,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,false,false,true,true,false,false,0.32,0.07,0.01,0.03,0.00,0.12,0.42,0.21,43.9452010,-78.8952330,17TPJ 68904 67939,0.0,0.0,53.7,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,353.4,2.5,0.0
2020-08-02 19:43:36.344,-41.4,10.6,12,4.3,14.9,-16.9,20.9,20.4,4.2,35.6,85.8,161.7,00:00:06,154.0,341,256,--.--,61,0000:00:00,11.97,89,0,-1.00,--.--,-11.97,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,19:43:36,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,false,false,true,true,false,false,0.32,0.07,0.01,0.03,0.00,0.12,0.42,0.21,43.9453350,-78.8950598,17TPJ 68918 67955,0.0,0.0,31.2,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,341.2,1.3,0.0
2020-08-02 19:43:37.358,-40.8,11.5,350,5.8,13.2,-13.6,20.5,20.5,4.1,39.5,89.6,180.1,00:00:07,159.5,341,249,--.--,60,0000:00:00,11.94,88,0,-1.00,--.--,-11.94,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,19:43:37,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,false,false,true,true,false,false,0.25,0.32,0.00,0.06,0.00,0.01,0.44,0.21,43.9455093,-78.8949794,17TPJ 68923 67974,0.0,0.0,5.9,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,341.2,1.3,0.0
2020-08-02 19:43:38.323,-37.9,13.6,331,9.9,14.1,-14.0,19.6,20.2,4.2,43.1,93.3,200.7,00:00:08,160.2,341,242,--.--,63,0000:00:00,11.91,86,0,-1.00,--.--,-11.91,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,19:43:38,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,false,false,true,true,false,false,0.25,0.32,0.00,0.06,0.00,0.01,0.44,0.21,43.9456951,-78.8950048,17TPJ 68921 67995,0.0,0.0,343.7,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,322.0,0.6,0.0
