Timestamp,roll,pitch,heading,rollRate,pitchRate,yawRate,groundSpeed,airSpeed,climbRate,altitudeRelative,altitudeAMSL,flightDistance,flightTime,distanceToHome,headingToNextWP,headingToHome,distanceToGCS,throttlePct,hobbs,battery.voltage,battery.percentRemaining,battery.mahConsumed,battery.current,battery.temperature,battery.instantPower,battery.timeRemaining,battery.chargeState,battery2.voltage,battery2.percentRemaining,battery2.mahConsumed,battery2.current,battery2.temperature,battery2.instantPower,battery2.timeRemaining,battery2.chargeState,clock.currentTime,clock.currentDate,distanceSensor.rotationNone,distanceSensor.rotationYaw45,distanceSensor.rotationYaw90,distanceSensor.rotationYaw135,distanceSensor.rotationYaw180,distanceSensor.rotationYaw225,distanceSensor.rotationYaw270,distanceSensor.rotationYaw315,distanceSensor.rotationPitch90,distanceSensor.rotationPitch270,estimatorStatus.goodAttitudeEsimate,estimatorStatus.goodHorizVelEstimate,estimatorStatus.goodVertVelEstimate,estimatorStatus.goodHorizPosRelEstimate,estimatorStatus.goodHorizPosAbsEstimate,estimatorStatus.goodVertPosAbsEstimate,estimatorStatus.goodVertPosAGLEstimate,estimatorStatus.goodConstPosModeEstimate,estimatorStatus.goodPredHorizPosRelEstimate,estimatorStatus.goodPredHorizPosAbsEstimate,estimatorStatus.gpsGlitch,estimatorStatus.accelError,estimatorStatus.velRatio,estimatorStatus.horizPosRatio,estimatorStatus.vertPosRatio,estimatorStatus.magRatio,estimatorStatus.haglRatio,estimatorStatus.tasRatio,estimatorStatus.horizPosAccuracy,estimatorStatus.vertPosAccuracy,gps.lat,gps.lon,gps.mgrs,gps.hdop,gps.vdop,gps.courseOverGround,gps.lock,gps.count,temperature.temperature1,temperature.temperature2,temperature.temperature3,vibration.xAxis,vibration.yAxis,vibration.zAxis,vibration.clipCount1,vibration.clipCount2,vibration.clipCount3,wind.direction,wind.speed,wind.verticalSpeed
2020-08-02 10:13:05.805,-1.1,-1.0,29,0.1,0.0,-0.1,0.0,-2.9,-0.0,-0.0,-0.0,0.0,00:00:00,0.0,308,--.--,--.--,0,0004:43:18,12.14,100,0,-1.00,--.--,-12.14,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,10:13:05,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,true,false,true,true,false,false,0.02,0.00,0.01,0.00,0.00,0.00,0.44,0.21,43.9451638,-78.8968383,17TPJ 68775 67932,0.0,0.0,6.7,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2020-08-02 10:13:06.810,0.5,-0.1,29,0.2,1.5,0.1,0.0,1.8,0.0,0.0,0.0,0.0,00:00:01,0.0,308,--.--,--.--,59,0004:43:18,12.12,99,0,-1.00,--.--,-12.12,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,10:13:06,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,true,false,true,true,false,false,0.01,0.00,0.01,0.01,0.00,0.00,0.44,0.21,43.9451638,-78.8968383,17TPJ 68775 67932,0.0,0.0,325.3,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2020-08-02 10:13:07.811,-0.9,-0.8,29,-0.2,-0.2,-0.2,0.0,1.8,1.3,1.0,0.9,0.0,00:00:02,0.1,308,--.--,--.--,62,0004:43:18,12.10,98,0,-1.00,--.--,-12.10,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,10:13:07,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,true,false,true,true,false,false,0.01,0.00,0.01,0.01,0.00,0.00,0.44,0.21,43.9451635,-78.8968379,17TPJ 68775 67932,0.0,0.0,142.5,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2020-08-02 10:13:08.811,-1.2,-1.0,29,-0.1,0.1,-0.3,0.0,-1.1,2.4,3.1,3.1,0.0,00:00:03,0.1,308,--.--,--.--,54,0004:43:18,12.07,96,0,-1.00,--.--,-12.07,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,10:13:08,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,true,false,true,true,false,false,0.03,0.01,0.01,0.01,0.00,0.00,0.43,0.21,43.9451629,-78.8968374,17TPJ 68775 67932,0.0,0.0,103.8,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2020-08-02 10:13:09.810,-1.4,-1.2,29,-0.1,-0.2,-0.2,0.0,0.3,1.7,5.1,5.1,0.0,00:00:04,0.1,308,--.--,--.--,57,0004:43:18,12.05,94,0,-1.00,--.--,-12.05,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,10:13:09,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,true,false,true,true,false,false,0.03,0.01,0.01,0.01,0.00,0.00,0.43,0.21,43.9451627,-78.8968372,17TPJ 68775 67932,0.0,0.0,166.9,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2020-08-02 10:13:10.812,-1.4,-1.3,29,-0.2,0.3,-0.3,0.0,-2.3,1.5,6.7,6.7,0.0,00:00:05,0.1,308,--.--,--.--,58,0004:43:18,12.02,93,0,-1.00,--.--,-12.02,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,10:13:10,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,false,false,true,true,false,false,0.01,0.01,0.01,0.00,0.00,0.00,0.42,0.20,43.9451628,-78.8968373,17TPJ 68775 67932,0.0,0.0,344.1,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2020-08-02 10:13:11.812,-1.4,-1.1,29,0.0,0.2,0.0,0.0,2.2,1.5,8.3,8.3,0.0,00:00:06,0.1,308,--.--,--.--,58,0004:43:18,11.99,91,0,-1.00,--.--,-11.99,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,10:13:11,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,false,false,true,true,false,false,0.01,0.01,0.01,0.00,0.00,0.00,0.42,0.20,43.9451633,-78.8968375,17TPJ 68775 67932,0.0,0.0,340.5,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2020-08-02 10:13:12.812,-1.4,-1.0,29,-0.6,-0.5,-0.2,0.0,1.6,1.5,9.8,9.8,0.0,00:00:07,0.1,308,--.--,--.--,58,0004:43:18,11.97,89,0,-1.00,--.--,-11.97,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,10:13:12,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,false,false,true,true,false,false,0.01,0.00,0.00,0.01,0.00,0.00,0.46,0.21,43.9451637,-78.8968378,17TPJ 68775 67932,0.0,0.0,338.0,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2020-08-02 10:13:13.813,-0.9,-0.8,29,-0.1,-0.7,0.1,0.0,1.5,2.7,11.8,11.8,0.0,00:00:08,0.0,308,--.--,--.--,67,0004:43:18,11.94,88,0,-1.00,--.--,-11.94,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,10:13:13,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,false,false,true,true,false,false,0.01,0.00,0.00,0.01,0.00,0.00,0.46,0.21,43.9451639,-78.8968383,17TPJ 68775 67932,0.0,0.0,293.8,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2020-08-02 10:13:14.813,-1.1,-1.0,29,0.1,-0.0,0.2,0.0,3.7,2.9,14.8,14.7,0.0,00:00:09,0.0,308,--.--,--.--,60,0004:43:18,11.91,86,0,-1.00,--.--,-11.91,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,10:13:14,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,false,false,true,true,false,false,0.03,0.00,0.01,0.01,0.00,0.00,0.45,0.21,43.9451639,-78.8968384,17TPJ 68775 67932,0.0,0.0,210.8,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
