Timestamp,roll,pitch,heading,rollRate,pitchRate,yawRate,groundSpeed,airSpeed,climbRate,altitudeRelative,altitudeAMSL,flightDistance,flightTime,distanceToHome,headingToNextWP,headingToHome,distanceToGCS,throttlePct,hobbs,battery.voltage,battery.percentRemaining,battery.mahConsumed,battery.current,battery.temperature,battery.instantPower,battery.timeRemaining,battery.chargeState,battery2.voltage,battery2.percentRemaining,battery2.mahConsumed,battery2.current,battery2.temperature,battery2.instantPower,battery2.timeRemaining,battery2.chargeState,clock.currentTime,clock.currentDate,distanceSensor.rotationNone,distanceSensor.rotationYaw45,distanceSensor.rotationYaw90,distanceSensor.rotationYaw135,distanceSensor.rotationYaw180,distanceSensor.rotationYaw225,distanceSensor.rotationYaw270,distanceSensor.rotationYaw315,distanceSensor.rotationPitch90,distanceSensor.rotationPitch270,estimatorStatus.goodAttitudeEsimate,estimatorStatus.goodHorizVelEstimate,estimatorStatus.goodVertVelEstimate,estimatorStatus.goodHorizPosRelEstimate,estimatorStatus.goodHorizPosAbsEstimate,estimatorStatus.goodVertPosAbsEstimate,estimatorStatus.goodVertPosAGLEstimate,estimatorStatus.goodConstPosModeEstimate,estimatorStatus.goodPredHorizPosRelEstimate,estimatorStatus.goodPredHorizPosAbsEstimate,estimatorStatus.gpsGlitch,estimatorStatus.accelError,estimatorStatus.velRatio,estimatorStatus.horizPosRatio,estimatorStatus.vertPosRatio,estimatorStatus.magRatio,estimatorStatus.haglRatio,estimatorStatus.tasRatio,estimatorStatus.horizPosAccuracy,estimatorStatus.vertPosAccuracy,gps.lat,gps.lon,gps.mgrs,gps.hdop,gps.vdop,gps.courseOverGround,gps.lock,gps.count,temperature.temperature1,temperature.temperature2,temperature.temperature3,vibration.xAxis,vibration.yAxis,vibration.zAxis,vibration.clipCount1,vibration.clipCount2,vibration.clipCount3,wind.direction,wind.speed,wind.verticalSpeed
2020-08-02 14:58:35.832,-1.1,-1.1,98,0.0,0.0,-0.1,0.0,2.6,-0.0,-0.0,49.8,0.0,00:00:00,0.0,308,--.--,--.--,0,0000:36:01,12.14,100,0,-1.00,--.--,-12.14,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,14:58:35,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,true,false,true,true,false,false,0.01,0.00,0.01,0.02,0.00,0.00,0.45,0.21,43.9451549,-78.8968509,17TPJ 68774 67931,0.0,0.0,311.9,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2020-08-02 14:58:36.811,0.3,0.3,98,-1.6,-0.9,-0.3,0.0,-0.8,0.2,0.1,49.9,0.0,00:00:01,0.0,308,--.--,--.--,60,0000:36:01,12.13,99,0,-1.00,--.--,-12.13,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,14:58:36,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,true,false,true,true,false,false,0.01,0.00,0.01,0.02,0.00,0.00,0.45,0.21,43.9451550,-78.8968509,17TPJ 68774 67931,0.0,0.0,53.5,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2020-08-02 14:58:37.831,-1.5,-1.6,98,-1.6,-1.4,-0.6,0.1,1.9,1.4,0.9,50.7,0.0,00:00:02,0.1,308,--.--,--.--,62,0000:36:01,12.10,98,0,-1.00,--.--,-12.10,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,14:58:37,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,true,false,true,true,false,false,0.04,0.00,0.01,0.00,0.00,0.00,0.44,0.21,43.9451545,-78.8968517,17TPJ 68774 67931,0.0,0.0,218.6,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2020-08-02 14:58:38.833,-2.0,-1.8,97,1.1,1.4,-1.3,0.1,2.4,1.1,2.2,52.0,0.0,00:00:03,0.2,308,--.--,--.--,57,0000:36:01,12.08,96,0,-1.00,--.--,-12.08,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,14:58:38,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,true,false,true,true,false,false,0.04,0.00,0.01,0.00,0.00,0.00,0.44,0.21,43.9451534,-78.8968528,17TPJ 68774 67931,0.0,0.0,214.4,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2020-08-02 14:58:39.834,-0.4,-1.0,97,0.8,-0.1,-0.2,0.1,-1.1,1.0,3.2,53.1,0.0,00:00:04,0.1,308,--.--,--.--,57,0000:36:01,12.05,94,0,-1.00,--.--,-12.05,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,14:58:39,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,true,false,true,true,false,false,0.01,0.01,0.00,0.01,0.00,0.00,0.43,0.20,43.9451539,-78.8968523,17TPJ 68774 67931,0.0,0.0,17.2,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2020-08-02 14:58:40.821,-0.8,-1.3,97,-1.2,-0.2,0.0,0.0,3.0,0.9,4.1,53.9,0.0,00:00:05,0.1,308,--.--,--.--,58,0000:36:01,12.05,94,0,-1.00,--.--,-12.05,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,14:58:40,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,true,false,true,true,false,false,0.01,0.01,0.00,0.01,0.00,0.00,0.43,0.20,43.9451539,-78.8968523,17TPJ 68774 67931,0.0,0.0,17.2,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2020-08-02 14:58:41.820,-1.6,-1.5,97,-0.6,0.2,-0.4,0.0,-3.5,0.9,4.8,54.6,0.0,00:00:06,0.1,308,--.--,--.--,58,0000:36:01,12.02,93,0,-1.00,--.--,-12.02,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,14:58:41,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,true,false,true,true,false,false,0.01,0.01,0.00,0.01,0.00,0.00,0.43,0.20,43.9451542,-78.8968520,17TPJ 68774 67931,0.0,0.0,165.3,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2020-08-02 14:58:42.821,-1.3,-1.1,96,0.8,0.2,-0.3,0.1,-2.8,0.9,5.8,55.6,0.0,00:00:07,0.1,308,--.--,--.--,57,0000:36:01,11.99,91,0,-1.00,--.--,-11.99,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,14:58:42,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,false,false,true,true,false,false,0.01,0.00,0.00,0.01,0.00,0.00,0.43,0.20,43.9451538,-78.8968518,17TPJ 68774 67931,0.0,0.0,66.4,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2020-08-02 14:58:43.834,-0.7,-1.2,96,-0.2,-0.5,-0.1,0.0,3.0,0.9,6.6,56.5,0.0,00:00:08,0.1,308,--.--,--.--,57,0000:36:01,11.97,89,0,-1.00,--.--,-11.97,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,14:58:43,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,false,false,true,true,false,false,0.01,0.00,0.00,0.01,0.00,0.00,0.43,0.20,43.9451540,-78.8968513,17TPJ 68774 67931,0.0,0.0,41.3,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2020-08-02 14:58:44.815,-1.2,-1.4,96,-0.8,-0.1,-0.3,0.0,2.2,1.0,7.6,57.4,0.0,00:00:09,0.1,308,--.--,--.--,58,0000:36:01,11.94,88,0,-1.00,--.--,-11.94,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,14:58:44,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,false,false,true,true,false,false,0.01,0.00,0.00,0.00,0.00,0.00,0.43,0.20,43.9451544,-78.8968510,17TPJ 68774 67931,0.0,0.0,33.6,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2020-08-02 14:58:45.836,-1.5,-1.4,96,-0.0,0.1,-0.4,0.0,2.0,0.9,8.3,58.1,0.0,00:00:10,0.1,308,--.--,--.--,58,0000:36:01,11.91,86,0,-1.00,--.--,-11.91,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,14:58:45,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,false,false,true,true,false,false,0.01,0.00,0.00,0.00,0.00,0.00,0.43,0.20,43.9451542,-78.8968508,17TPJ 68774 67931,0.0,0.0,125.8,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2020-08-02 14:58:46.833,-1.1,-1.2,96,0.7,0.2,-0.2,0.0,2.3,0.9,9.1,59.0,0.0,00:00:11,0.1,308,--.--,--.--,57,0000:36:01,11.88,84,0,-1.00,--.--,-11.88,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,14:58:46,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,false,false,true,true,false,false,0.01,0.01,0.00,0.03,0.00,0.00,0.42,0.20,43.9451544,-78.8968503,17TPJ 68774 67931,0.0,0.0,41.4,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2020-08-02 14:58:47.811,-1.0,-1.3,96,-0.2,-0.1,0.0,0.0,1.7,0.9,10.1,59.9,0.0,00:00:12,0.1,308,--.--,--.--,58,0000:36:01,11.86,83,0,-1.00,--.--,-11.86,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,14:58:47,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,false,false,true,true,false,false,0.01,0.01,0.00,0.03,0.00,0.00,0.42,0.20,43.9451548,-78.8968501,17TPJ 68774 67931,0.0,0.0,13.5,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2020-08-02 14:58:48.834,-1.0,-1.7,96,-0.4,-2.0,-0.1,0.0,4.1,2.8,12.1,61.9,0.0,00:00:13,0.1,308,--.--,--.--,65,0000:36:01,11.83,81,0,-1.00,--.--,-11.83,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,14:58:48,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,false,false,true,true,false,false,0.08,0.00,0.00,0.01,0.00,0.00,0.43,0.21,43.9451549,-78.8968498,17TPJ 68774 67931,0.0,0.0,22.1,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2020-08-02 14:58:49.833,-1.2,-2.4,96,0.2,-0.8,-0.0,0.0,1.6,2.9,14.5,64.3,0.0,00:00:14,0.0,308,--.--,--.--,60,0000:36:01,11.80,79,0,-1.00,--.--,-11.80,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,14:58:49,2020-08-02,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.00,--.--,--.--,true,true,true,true,true,true,false,false,true,true,false,false,0.08,0.00,0.00,0.01,0.00,0.00,0.43,0.21,43.9451548,-78.8968504,17TPJ 68774 67931,0.0,0.0,244.7,3,10,--.--,--.--,--.--,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
